Ticket   || Tipo            || Data       || Pai      || Incidente       || Descrição                                          ||
ENS-8429 || História        || 2025-11-11 || ENS-8428 ||                 || Atividade                                          ||
ENS-8428 || Epic            || 2025-11-11 || ENS-8428 || 0               || Atividades gerais                                  ||
ENS-8425 || História        || 2025-10-29 || ENS-8352 ||                 || [ALTERAÇÃO] - [0] - Atividade 37                   ||
ENS-8423 || História        || 2025-10-29 || ENS-8351 ||                 || [ALTERAÇÃO] - [0] - Atividade 36                   ||
ENS-8421 || História        || 2025-10-29 || ENS-8350 ||                 || [ALTERAÇÃO] - [0] - Atividade 35                   ||
ENS-8419 || História        || 2025-10-29 || ENS-8349 ||                 || [ALTERAÇÃO] - [0] - Atividade 34                   ||
ENS-8417 || História        || 2025-10-29 || ENS-8348 ||                 || [ALTERAÇÃO] - [0] - Atividade 33                   ||
ENS-8415 || História        || 2025-10-29 || ENS-8347 ||                 || [ALTERAÇÃO] - [0] - Atividade 32                   ||
ENS-8413 || História        || 2025-10-29 || ENS-8346 ||                 || [ALTERAÇÃO] - [0] - Atividade 31                   ||
ENS-8411 || História        || 2025-10-29 || ENS-8345 ||                 || [ALTERAÇÃO] - [0] - Atividade 30                   ||
ENS-8409 || História        || 2025-10-29 || ENS-8344 ||                 || [ALTERAÇÃO] - [0] - Atividade 29                   ||
ENS-8407 || História        || 2025-10-29 || ENS-8343 ||                 || [ALTERAÇÃO] - [0] - Atividade 28                   ||
ENS-8405 || História        || 2025-10-29 || ENS-8342 ||                 || [ALTERAÇÃO] - [0] - Atividade 27                   ||
ENS-8403 || História        || 2025-10-29 || ENS-8341 ||                 || [ALTERAÇÃO] - [0] - Atividade 26                   ||
ENS-8401 || História        || 2025-10-29 || ENS-8340 ||                 || [ALTERAÇÃO] - [0] - Atividade 25                   ||
ENS-8399 || História        || 2025-10-29 || ENS-8339 ||                 || [ALTERAÇÃO] - [0] - Atividade 24                   ||
ENS-8397 || História        || 2025-10-29 || ENS-8338 ||                 || [ALTERAÇÃO] - [0] - Atividade 23                   ||
ENS-8395 || História        || 2025-10-29 || ENS-8337 ||                 || [ALTERAÇÃO] - [0] - Atividade 22                   ||
ENS-8393 || História        || 2025-10-29 || ENS-8336 ||                 || [ALTERAÇÃO] - [0] - Atividade 21                   ||
ENS-8391 || História        || 2025-10-29 || ENS-8335 ||                 || [ALTERAÇÃO] - [0] - Atividade 20                   ||
ENS-8389 || História        || 2025-10-29 || ENS-8334 ||                 || [ALTERAÇÃO] - [0] - Atividade 19                   ||
ENS-8387 || História        || 2025-10-29 || ENS-8333 ||                 || [ALTERAÇÃO] - [0] - Atividade 18                   ||
