Dec 11 08:50:31.596000 - 14908/1124	****   jdeDebugInit -- output disabled in INI file. 
Dec 11 08:51:03.303000 - 14908/3836 FOREIGN_THREAD                    	Entering JDB_GetUser 
Dec 11 08:51:03.303001 - 14908/3836 FOREIGN_THREAD                    	Exiting JDB_GetUser 
Dec 11 08:51:03.303002 - 14908/3836 FOREIGN_THREAD                    	Entering JDB_GetEnvironment 
Dec 11 08:51:03.303003 - 14908/3836 FOREIGN_THREAD                    	Exiting JDB_GetEnvironment returning global environment name 
Dec 11 08:51:39.603000 - 14908/1124 MAIN_THREAD                       	In jdeMaintainDftHyperItem 
Dec 11 08:51:39.613000 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseView (hRequest 0F429670) 
Dec 11 08:51:39.613001 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseView (VIEW = V98825C) 
Dec 11 08:51:39.613002 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseTable (hRequest 0F429670) 
Dec 11 08:51:39.621000 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSequencing (hRequest 0F429670) 
Dec 11 08:51:39.621001 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSequencing with Success 
Dec 11 08:51:39.621002 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSelection (hRequest 0F429670) 
Dec 11 08:51:39.621003 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSelection with Success 
Dec 11 08:51:39.621004 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearAggregate (hRequest 0F429670) 
Dec 11 08:51:39.621005 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearAggregate with Success 
Dec 11 08:51:39.621006 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearGroupBy (hRequest 0F429670) 
Dec 11 08:51:39.621007 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearGroupBy with Success 
Dec 11 08:51:39.621008 - 14908/1124 MAIN_THREAD                       	ORACLE DBFreeReq conn=0BC004B0 requ=2B96B7B0 CLOSE 
Dec 11 08:51:39.628000 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearBuffers (hRequest 0F429670) 
Dec 11 08:51:39.628001 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearBuffers with success. 
Dec 11 08:51:39.628002 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseTable with Success 
Dec 11 08:51:39.628003 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseView (VIEW = V98825C) with Success 
Dec 11 08:51:39.628004 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseTable (hRequest 0F426DF0) 
Dec 11 08:51:39.628005 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseTable(Table = F988251) 
Dec 11 08:51:39.628006 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSequencing (hRequest 0F426DF0) 
Dec 11 08:51:39.628007 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSequencing with Success 
Dec 11 08:51:39.628008 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSelection (hRequest 0F426DF0) 
Dec 11 08:51:39.628009 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSelection with Success 
Dec 11 08:51:39.628010 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearAggregate (hRequest 0F426DF0) 
Dec 11 08:51:39.628011 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearAggregate with Success 
Dec 11 08:51:39.628012 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearGroupBy (hRequest 0F426DF0) 
Dec 11 08:51:39.628013 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearGroupBy with Success 
Dec 11 08:51:39.628014 - 14908/1124 MAIN_THREAD                       	ORACLE DBFreeReq conn=0BC004B0 requ=2B973FF0 CLOSE 
Dec 11 08:51:39.628015 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearBuffers (hRequest 0F426DF0) 
Dec 11 08:51:39.628016 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearBuffers with success. 
Dec 11 08:51:39.628017 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseTable(Table = F988251) with Success 
Dec 11 08:51:39.628018 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseTable with Success 
Dec 11 08:51:39.636000 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeUser (UserHandle 0BC1B340) 
Dec 11 08:51:39.636001 - 14908/1124 MAIN_THREAD                       	Entering FreeLibraryCache 0F265C10 
Dec 11 08:51:39.636002 - 14908/1124 MAIN_THREAD                       	Decremented reference count for BSFN library C:\E910\PY910\bin32\CCORE.dll, current count is 0 
Dec 11 08:51:39.636003 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeUser with Success(UserHandle 0BC1B340) 
Dec 11 08:51:39.636004 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeEnv (EnvHandle 0583AF18) 
Dec 11 08:51:39.636005 - 14908/1124 MAIN_THREAD                       	Enter JDB_CreateCriticalSections.count=2 
Dec 11 08:51:39.636006 - 14908/1124 MAIN_THREAD                       	Exit JDB_CreateCriticalSections with count=3 
Dec 11 08:51:39.636007 - 14908/1124 MAIN_THREAD                       	Enter JDB_FreeCriticalSections. count=3 
Dec 11 08:51:39.636008 - 14908/1124 MAIN_THREAD                       	Exit JDB_FreeCriticalSections,count=2 to go 
Dec 11 08:51:39.636009 - 14908/1124 MAIN_THREAD                       	Enter JDB_FreeCriticalSections. count=2 
Dec 11 08:51:39.636010 - 14908/1124 MAIN_THREAD                       	Exit JDB_FreeCriticalSections,count=1 to go 
Dec 11 08:51:39.636011 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeEnv with Success (EnvHandle 0583AF18) 
Dec 11 08:51:39.637000 - 14908/1124 MAIN_THREAD                       	User declined optional packages, starting OneWorld. 
Dec 11 08:51:39.641000 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseTable (hRequest 0F3CECB8) 
Dec 11 08:51:39.641001 - 14908/1124 MAIN_THREAD                       	Entering JDB_CloseTable(Table = F98825) 
Dec 11 08:51:39.641002 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSequencing (hRequest 0F3CECB8) 
Dec 11 08:51:39.641003 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSequencing with Success 
Dec 11 08:51:39.641004 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearSelection (hRequest 0F3CECB8) 
Dec 11 08:51:39.641005 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearSelection with Success 
Dec 11 08:51:39.641006 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearAggregate (hRequest 0F3CECB8) 
Dec 11 08:51:39.641007 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearAggregate with Success 
Dec 11 08:51:39.641008 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearGroupBy (hRequest 0F3CECB8) 
Dec 11 08:51:39.641009 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearGroupBy with Success 
Dec 11 08:51:39.641010 - 14908/1124 MAIN_THREAD                       	ORACLE DBFreeReq conn=0BC004B0 requ=0F3B83C8 CLOSE 
Dec 11 08:51:39.641011 - 14908/1124 MAIN_THREAD                       	Entering JDB_ClearBuffers (hRequest 0F3CECB8) 
Dec 11 08:51:39.641012 - 14908/1124 MAIN_THREAD                       	Exiting JDB_ClearBuffers with success. 
Dec 11 08:51:39.641013 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseTable(Table = F98825) with Success 
Dec 11 08:51:39.641014 - 14908/1124 MAIN_THREAD                       	Exiting JDB_CloseTable with Success 
Dec 11 08:51:39.641015 - 14908/1124 MAIN_THREAD                       	SE: Loading registry entries 
Dec 11 08:51:39.663000 - 14908/1124 MAIN_THREAD                       	SE: Creating and initializing the mem mapped files used for ipc 
Dec 11 08:51:39.830000 - 14908/1124 MAIN_THREAD                       	REGISTRY:The entries for C:\E910\system\bin32\envServer.dll were removed successfully. 
Dec 11 08:51:39.885000 - 14908/1124 MAIN_THREAD                       	REGISTRY:The entries for C:\E910\system\bin32\envServer.dll were created successfully.  
Dec 11 08:51:40.211000 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitUser with (AUTO commit mode) 
Dec 11 08:51:40.211001 - 14908/1124 MAIN_THREAD                       	Entering JDB_BeginTransaction (UserHandle 0F2882F0) 
Dec 11 08:51:40.211002 - 14908/1124 MAIN_THREAD                       	Exiting JDB_BeginTransaction with Success (UserHandle 0F2882F0) 
Dec 11 08:51:40.211003 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitUser with Success (UserHandle 0F2882F0) 
Dec 11 08:51:40.211004 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitEnv 
Dec 11 08:51:40.211005 - 14908/1124 MAIN_THREAD                       	Enter JDB_CreateCriticalSections.count=1 
Dec 11 08:51:40.211006 - 14908/1124 MAIN_THREAD                       	Exit JDB_CreateCriticalSections with count=2 
Dec 11 08:51:40.211007 - 14908/1124 MAIN_THREAD                       	Enter JDB_CreateCriticalSections.count=2 
Dec 11 08:51:40.211008 - 14908/1124 MAIN_THREAD                       	Exit JDB_CreateCriticalSections with count=3 
Dec 11 08:51:40.211009 - 14908/1124 MAIN_THREAD                       	JDERT_InitRealTimeEvents(HENV hEnv) called 
Dec 11 08:51:40.215000 - 14908/1124 MAIN_THREAD                       	New RTE system is enabled for 811 and higher releases. Bypassing RTE object checks. 
Dec 11 08:51:40.215001 - 14908/1124 MAIN_THREAD                       	JDERT_IsRealTimeEnabled called 
Dec 11 08:51:40.215002 - 14908/1124 MAIN_THREAD                       	New RTE system is enabled for 811 and higher releases. Bypassing RTE object checks. 
Dec 11 08:51:40.215003 - 14908/1124 MAIN_THREAD                       	Entering JDB_GetEnv 
Dec 11 08:51:40.215004 - 14908/1124 MAIN_THREAD                       	Exiting JDB_GetEnv with Success 
Dec 11 08:51:40.215005 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitUser with (AUTO commit mode) 
Dec 11 08:51:40.215006 - 14908/1124 MAIN_THREAD                       	Entering JDB_BeginTransaction (UserHandle 0BC1B340) 
Dec 11 08:51:40.215007 - 14908/1124 MAIN_THREAD                       	Exiting JDB_BeginTransaction with Success (UserHandle 0BC1B340) 
Dec 11 08:51:40.215008 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitUser with Success (UserHandle 0BC1B340) 
Dec 11 08:51:40.215009 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeUser (UserHandle 0BC1B340) 
Dec 11 08:51:40.215010 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeUser with Success(UserHandle 0BC1B340) 
Dec 11 08:51:40.215011 - 14908/1124 MAIN_THREAD                       	Entering JDB_GetEnv 
Dec 11 08:51:40.215012 - 14908/1124 MAIN_THREAD                       	Exiting JDB_GetEnv with Success 
Dec 11 08:51:40.215013 - 14908/1124 MAIN_THREAD                       	New RTE system is enabled for 811 and higher releases. Bypassing RTE object checks. 
Dec 11 08:51:40.215014 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitUser with (AUTO commit mode) 
Dec 11 08:51:40.215015 - 14908/1124 MAIN_THREAD                       	Entering JDB_BeginTransaction (UserHandle 0BC1B340) 
Dec 11 08:51:40.215016 - 14908/1124 MAIN_THREAD                       	Exiting JDB_BeginTransaction with Success (UserHandle 0BC1B340) 
Dec 11 08:51:40.215017 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitUser with Success (UserHandle 0BC1B340) 
Dec 11 08:51:40.215018 - 14908/1124 MAIN_THREAD                       	Entering JDB_FreeUser (UserHandle 0BC1B340) 
Dec 11 08:51:40.215019 - 14908/1124 MAIN_THREAD                       	Exiting JDB_FreeUser with Success(UserHandle 0BC1B340) 
Dec 11 08:51:40.215020 - 14908/1124 MAIN_THREAD                       	Enter JDB_FreeCriticalSections. count=3 
Dec 11 08:51:40.215021 - 14908/1124 MAIN_THREAD                       	Exit JDB_FreeCriticalSections,count=2 to go 
Dec 11 08:51:40.215022 - 14908/1124 MAIN_THREAD                       	Exiting JDB_InitEnv with Success (EnvHandle 0583AF18) 
Dec 11 08:51:40.215023 - 14908/1124 MAIN_THREAD                       	Entering JDB_InitUser with (AUTO commit mode) 
